source_row_number,legajo_canonico,row_kind,raw_ubicacion,raw_concesion,raw_manzana,raw_parcela,source_component_profile,source_component_count,source_ncp_derived,source_ncp_derivation_status,match_method,match_count,confidence,reason,parcela_id,ncp,ncp_formatted,ncp_format_status,sec,gru,nmanz,nparc,lon,lat,auto_lon,auto_lat,geolocation_source,admin_override_reason,admin_override_updated_at,postal_address_available,cadastral_reference_available,dual_verification_ready,address_query,address_geocode_status,address_match_name,address_lon,address_lat,address_vs_auto_cadastral_distance_m,address_vs_cadastral_distance_m,auto_location_verification_status,location_verification_status
65,58,detail,"Primeros Colonos s/Nº, e/ Ara San Juan y Alcoba",231,,7,gru+parc,2,0100010052310000--007--,derived_from_source_gru_parc,gru_parc,1,medium,unique_match_by_gru_parc,36282,0100010052310000--007--,0100010052310000--007--,matches_source_ncp,5,231,0,7,-58.19889899,-32.21795739,-58.19889899,-32.21795739,automatic,,,yes,yes,no,"Primeros Colonos º, e/ Ara San Juan y Alcoba, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
66,58,detail_continuation,,,,10,parc,1,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,no,yes,no,", Colón",missing_address,,,,,,missing_both_points,missing_both_points
67,59,detail,Salsipuedes s/Nº,327,7,4,gru+manz+parc,3,0100010123270007--004--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,37903,0100010123270007--004--,0100010123270007--004--,matches_source_ncp,12,327,7,4,-58.16463041,-32.23056460,-58.16463041,-32.23056460,automatic,,,yes,yes,no,"Salsipuedes º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
68,60,detail,Noailles Nº  158 esq Artigas,,112,19,manz+parc,2,0100010000000112--019--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,28145,0100010000000112--019--,0100010000000112--019--,matches_source_ncp,0,0,112,19,-58.13937049,-32.22523078,-58.13937049,-32.22523078,automatic,,,yes,yes,yes,"Noailles 158, Colón",matched_ign,"GRL NOAILLES 158, Colón, Entre Ríos",-58.13466070,-32.22166309,594.70,594.70,review_large_gap,review_large_gap
69,61,detail,Bvard Gaillard Nº 567,,613,6,manz+parc,2,0100010000000613--006--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,30236,0100010000000613--006--,0100010000000613--006--,matches_source_ncp,0,0,613,6,-58.14837937,-32.21954034,-58.14837937,-32.21954034,automatic,,,yes,yes,yes,"Gaillard 567, Colón",matched_ign,"AMILCAR GAILLARD 567, Colón, Entre Ríos",-58.14811747,-32.21963026,26.59,26.59,verified_close,verified_close
70,62,detail,"Ruta Nac. Nº 14, km",,,65,parc,1,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,yes,yes,no,"Ruta Nac. 14, km, Colón",no_ign_match,,,,,,missing_both_points,missing_both_points
71,63,detail,Calle 12 de Abril Nº 229,34,172,9,gru+manz+parc,3,0100010000000172--009--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,29854,0100010000000172--009--,0100010000000172--009--,matches_source_ncp,0,0,172,9,-58.13779806,-32.22056436,-58.13779806,-32.22056436,automatic,,,yes,yes,yes,"12 de Abril 229, Colón",matched_ign,"12 DE ABRIL 229, Colón, Entre Ríos",-58.13758042,-32.22083491,36.39,36.39,verified_close,verified_close
72,64,detail,Cabo Pereyra Nº 376,327,11,2,gru+manz+parc,3,0100010123270011--002--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,35095,0100010123270011--002--,0100010123270011--002--,matches_source_ncp,12,327,11,2,-58.16106538,-32.22751293,-58.16106538,-32.22751293,automatic,,,yes,yes,yes,"Cabo Pereyra 376, Colón",matched_ign,"CABO 1RO C PEREYRA 376, Colón, Entre Ríos",-58.16074421,-32.22714119,51.20,51.20,verified_close,verified_close
73,65,detail,Ruta N° 135,268,,11,gru+parc,2,0100010112680001--011--,derived_from_source_gru_parc,gru_parc,1,medium,unique_match_by_gru_parc,35721,0100010112680001--011--,0100010112680001--011--,matches_source_ncp,11,268,1,11,-58.17399825,-32.24046544,-58.17399825,-32.24046544,automatic,,,yes,yes,no,"Ruta 135, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
74,66,detail,San Martín Nº 757,,20,6,manz+parc,2,,ambiguous_source_components,manz_parc,2,low,ambiguous_match_by_manz_parc,27948,0100010000000020--006--,0100010000000020--006--,matches_source_ncp,0,0,20,6,-58.14704646,-32.22604937,-58.14704646,-32.22604937,automatic,,,yes,yes,no,"San Martín 757, Colón",matched_ign,"AV SAN MARTIN 757, Colón, Entre Ríos",-58.14678997,-32.22618484,28.44,28.44,verified_close,verified_close
