prioridad,source_row_number,legajo_canonico,ubicacion,match_method,match_count,confidence,location_verification_status,address_geocode_status,reason
alta,19,16,Peyret N° 210,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,21,18,Maipú N° 470,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,24,21,Rocamora N° 416,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,25,22,Gouchon N° 418,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,30,27,Hernandez N° 282,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,31,28,Bvard. Ferrari N° 1190,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,36,32,Noailles N° 239 esq L. N. Alema,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,37,33,9 de Julio Nº 363,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,40,36,25 de Mayo N° 464,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,44,40,Avda Paysandù Nº 274,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,50,46,Tucumán Nº 1422,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,54,50,Avda Paysandú Nº 1170,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,55,51,Combatientes de Malvinas N° 980,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,57,53,M. M. Lima N° 1081,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,58,54,12 de Abril Nº 167 (171),none,0,low,verified_close,matched_ign,no_cadastral_match
alta,61,57,Alberdi esq Sourigues N° 244 y 246,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,63,59,Las Piedras N° 12,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,65,61,San Martín N° 220,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,68,64,Alejo Peyret N° 140,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,74,70,Pasaje Alarcón N° 521,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,75,71,12 de Abril N° 741,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,76,72,Balcarce N° 66,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,81,77,"Esteva Berga N° 152, esq Noailles",none,0,low,verified_close,matched_ign,no_cadastral_match
alta,92,86,San Martín N° 625,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,93,89,Laprida N.º 521,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,94,90,Combatientes de Malvinas N° 188,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,101,97,Cabo Pereyra N° 645,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,102,98,25 de Mayo N° 450,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,103,99,Araujo Penón N° 413,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,105,104,"12 de Abril N°  esq. Lavalle N° 2, 8, 10, 12, 14, 16, 18",none,0,low,verified_close,matched_ign,no_cadastral_match
alta,110,106,Bvard Ferrari s/Nº 960,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,111,108,Bolívar Nº 237,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,113,109,12 de Abril N° 686,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,115,111,Sarmiento N°  366,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,116,112,Bvard. Ferrari N.º 1389,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,117,113,Artigas N° 173,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,118,114,Reibel N° 248,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,122,119,Lavalle N° 486,none,0,low,verified_close,matched_ign,no_cadastral_match
alta,123,118,Balcarce N° 174,none,0,low,verified_close,matched_ign,no_cadastral_match
