prioridad,tipo,source_row_number,legajo_canonico,expediente_raw,ubicacion,detalle,subtipo
alta,geolocalizacion,37,33,550631,9 de Julio Nº 363,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,40,36,547148,25 de Mayo N° 464,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,42,38,"mail, 549962",Mitre N° 776,unique_match_by_gru_parc,distancia_para_revision
alta,geolocalizacion,44,40,550967,Avda Paysandù Nº 274,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,50,46,"mail, 551495",Tucumán Nº 1422,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,54,50,541028,Avda Paysandú Nº 1170,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,55,51,"mail, 551638",Combatientes de Malvinas N° 980,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,57,53,"mail, 551756",M. M. Lima N° 1081,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,58,54,551064,12 de Abril Nº 167 (171),no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,59,55,551803,Alvear N° 321,unique_match_by_gru_parc,distancia_para_revision
alta,geolocalizacion,61,57,"mail, 552086",Alberdi esq Sourigues N° 244 y 246,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,62,58,551441,Bolìvar Nº 435,unique_match_by_gru_parc,distancia_para_revision
alta,geolocalizacion,63,59,552179,Las Piedras N° 12,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,64,60,"mail, 552180",Reibel N° 636,unique_match_by_gru_parc,distancia_para_revision
alta,geolocalizacion,65,61,"549179, mail",San Martín N° 220,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,68,64,552544,Alejo Peyret N° 140,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,74,70,"mail, 552739",Pasaje Alarcón N° 521,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,75,71,"mail, 552748",12 de Abril N° 741,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,76,72,"mail, 552724",Balcarce N° 66,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,81,77,"mail, 553268","Esteva Berga N° 152, esq Noailles",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,84,80,553342,Avda. Pte. Perón N° 296,unique_match_by_gru_parc,distancia_para_revision
alta,geolocalizacion,92,86,553646,San Martín N° 625,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,93,89,518953,Laprida N.º 521,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,94,90,553555,Combatientes de Malvinas N° 188,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,101,97,"mail, 554532",Cabo Pereyra N° 645,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,102,98,"mail, 554282",25 de Mayo N° 450,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,103,99,553659,Araujo Penón N° 413,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,104,100,"MAIL, 553664",Mitre N° 776,unique_match_by_gru_parc,distancia_para_revision
alta,geolocalizacion,105,104,"mail, 554248","12 de Abril N°  esq. Lavalle N° 2, 8, 10, 12, 14, 16, 18",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,110,106,"mail, 553114",Bvard Ferrari s/Nº 960,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,111,108,550208,Bolívar Nº 237,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,113,109,553730,12 de Abril N° 686,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
