source_row_number,legajo_canonico,raw_ubicacion,tipo_problema,subtipo,detalle,severity,match_method,confidence,reason
165,161,Avda Paysandú N° 274,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
166,162,Calle Paraiso ( Loteo Aires de 1872),geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
167,163,Bernard N° 671,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
168,164,Calle Privada s/N° - Los Bretes,geolocalizacion,match_ambiguo,ambiguous_match_by_manz_parc,warning,manz_parc,low,ambiguous_match_by_manz_parc
169,165,Avda. Urquiza N° 769,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
170,166,Primera Junta N° 93 esq Bolivar,geolocalizacion,match_ambiguo,ambiguous_match_by_gru_parc,warning,gru_parc,low,ambiguous_match_by_gru_parc
171,167,Piamonte N° 650,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
172,168,12 de Abril  N° 1186,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
174,170,Bvard Gaillard N° 252 esq Sarmiento,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
176,171,9 de Mayo N°   323,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
177,172,Calle Privada s/Nº - Los Bretes,geolocalizacion,match_ambiguo,ambiguous_match_by_manz_parc,warning,manz_parc,low,ambiguous_match_by_manz_parc
178,173,General Paz N° 136,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
179,174,Calle Privada s/N° - Los Bretes,geolocalizacion,match_ambiguo,ambiguous_match_by_manz_parc,warning,manz_parc,low,ambiguous_match_by_manz_parc
180,175,"Reibel N° 161, 163, 165",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
181,176,María Isabel Fernandez s/N°,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
186,180,Avda. Paysandú Nº 657,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
188,181,"Batalla de Cepeda Nº204, 206, esq Lavalle",geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
189,182,Bolívar Nº 87,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
190,183,Paso de los Andes Nº,geolocalizacion,sin_match_catastral,no_cadastral_match,warning,none,low,no_cadastral_match
