source_row_number,legajo_canonico,row_kind,raw_ubicacion,raw_concesion,raw_manzana,raw_parcela,source_component_profile,source_component_count,source_ncp_derived,source_ncp_derivation_status,match_method,match_count,confidence,reason,parcela_id,ncp,ncp_formatted,ncp_format_status,sec,gru,nmanz,nparc,lon,lat,auto_lon,auto_lat,geolocation_source,admin_override_reason,admin_override_updated_at,postal_address_available,cadastral_reference_available,dual_verification_ready,address_query,address_geocode_status,address_match_name,address_lon,address_lat,address_vs_auto_cadastral_distance_m,address_vs_cadastral_distance_m,auto_location_verification_status,location_verification_status
158,163,detail,Calle Pública s/Nº,310,2,34,gru+manz+parc,3,0100010113100002--034--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,37074,0100010113100002--034--,0100010113100002--034--,matches_source_ncp,11,310,2,34,-58.16852960,-32.22915306,-58.16852960,-32.22915306,automatic,,,yes,yes,no,"Calle Pública º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
159,154,detail,Ñandubay esq Saavedra s/N° - Barrio Blanc,355,6,1,gru+manz+parc,3,0100010063550006--001--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,33055,0100010063550006--001--,0100010063550006--001--,matches_source_ncp,6,355,6,1,-58.16199864,-32.20933144,-58.16199864,-32.20933144,automatic,,,yes,yes,no,"Ñandubay esq Saavedra °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
160,150,detail,Vergniaud N° 20,,427,21,manz+parc,2,0100010000000427--021--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,37156,0100010000000427--021--,0100010000000427--021--,matches_source_ncp,0,0,427,21,-58.15078878,-32.22974272,-58.15078878,-32.22974272,automatic,,,yes,yes,no,"Vergniaud 20, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
161,161,detail,Jacaranda s/Nº - Los Bretes,3,4,34,gru+manz+parc,3,0100010170030004--034--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,36674,0100010170030004--034--,0100010170030004--034--,matches_source_ncp,17,3,4,34,-58.13236344,-32.24437709,-58.13236344,-32.24437709,automatic,,,yes,yes,no,"Jacaranda º, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
162,157,detail,Karai Yamandú s/N°,310,2,14,gru+manz+parc,3,0100010113100002--014--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,35311,0100010113100002--014--,0100010113100002--014--,matches_source_ncp,11,310,2,14,-58.16752120,-32.22819283,-58.16752120,-32.22819283,automatic,,,yes,yes,no,"Karai Yamandú °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
163,153,detail,Houssay sN° esq Espinillo,355,2,1,gru+manz+parc,3,0100010063550002--001--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,33047,0100010063550002--001--,0100010063550002--001--,matches_source_ncp,6,355,2,1,-58.16159322,-32.20832193,-58.16159322,-32.20832193,automatic,,,yes,yes,no,"Houssay ° esq Espinillo, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
164,166,detail,Avda. Paysandú S/N°,,488,25,manz+parc,2,0100010000000488--025--,derived_from_source_manz_parc,manz_parc,1,medium,unique_match_by_manz_parc,33532,0100010000000488--025--,0100010000000488--025--,matches_source_ncp,0,0,488,25,-58.15537290,-32.22257047,-58.15537290,-32.22257047,automatic,,,yes,yes,no,"Avenida Paysandú °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
165,152,detail,Calle Timbó s/N°,310,3,11,gru+manz+parc,3,0100010113100003--011--,derived_from_source_gru_manz_parc,gru_manz_parc,1,high,unique_match_by_gru_manz_parc,33412,0100010113100003--011--,0100010113100003--011--,matches_source_ncp,11,310,3,11,-58.16786132,-32.23236090,-58.16786132,-32.23236090,automatic,,,yes,yes,no,"Calle Timbó °, Colón",no_ign_match,,,,,,missing_address_point,missing_address_point
166,152,detail_continuation,,,,37,parc,1,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,no,yes,no,", Colón",missing_address,,,,,,missing_both_points,missing_both_points
167,152,detail_continuation,,,,38,parc,1,,no_unique_parcel_inference,none,0,low,no_cadastral_match,,,,missing_components,,,,,,,,,automatic,,,no,yes,no,", Colón",missing_address,,,,,,missing_both_points,missing_both_points
